fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.4,0.7,0.0,0.5452213331700134,0.06830503610723457,2.4849066497880004,3.5553480614894135,0.9978,3.51,0.44468582126144574,2.341805806147327,5
7.8,0.88,0.0,0.6013525312800371,0.0856038893516389,3.258096538021482,4.219507705176107,0.9968,3.2,0.5187937934151675,2.379546134130174,5
7.8,0.76,0.04,0.5798054681874687,0.0809817859150785,2.772588722239781,4.007333185232471,0.997,3.26,0.5007752879124893,2.379546134130174,5
11.2,0.28,0.56,0.5452213331700134,0.06749521692112419,2.8903717578961645,4.110873864173311,0.998,3.16,0.4574248470388754,2.379546134130174,6
7.4,0.66,0.0,0.5352342718995394,0.06749521692112419,2.6390573296152584,3.713572066704308,0.9978,3.51,0.44468582126144574,2.341805806147327,5
7.9,0.6,0.06,0.5132138304888113,0.06259155648615804,2.772588722239781,4.0943445622221,0.9964,3.3,0.3784364357202451,2.341805806147327,5
7.3,0.65,0.0,0.4582810869612635,0.05927914464319723,2.772588722239781,3.091042453358316,0.9946,3.39,0.3852624007906449,2.3978952727983707,7
7.8,0.58,0.02,0.5546183566222742,0.0658692235534219,2.302585092994046,2.9444389791664403,0.9968,3.36,0.4510756193602166,2.3513752571634776,7
7.5,0.5,0.36,0.7348749836529411,0.0642346950600787,2.8903717578961645,4.634728988229636,0.9978,3.35,0.5877866649021191,2.4423470353692043,5
6.7,0.58,0.08,0.5352342718995394,0.08483838004859709,2.772588722239781,4.189654742026425,0.9959,3.28,0.43178241642553783,2.322387720290225,5
5.6,0.615,0.0,0.5132138304888113,0.07864429573469996,2.833213344056216,4.0943445622221,0.9943,3.58,0.41871033485818504,2.388762789235098,5
7.8,0.61,0.29,0.5132138304888113,0.09759657004359444,2.302585092994046,3.4011973816621555,0.9974,3.26,0.9400072584914712,2.312535423847214,5
8.9,0.62,0.18,0.6644221388979804,0.1399749051749449,3.970291913552122,4.983606621708336,0.9986,3.16,0.6312717768418579,2.322387720290225,5
8.9,0.62,0.19,0.6685278693421354,0.13613248412964635,3.9512437185814275,5.003946305945459,0.9986,3.17,0.6575200029167941,2.322387720290225,5
8.5,0.28,0.56,0.5352342718995394,0.0809817859150785,3.58351893845611,4.6443908991413725,0.9969,3.3,0.5596157879354227,2.4423470353692043,7
8.1,0.56,0.28,0.5245908637834166,0.24104711162446718,2.833213344056216,4.04305126783455,0.9968,3.11,0.8241754429663494,2.33214389523559,5
7.4,0.59,0.08,0.6872305205026541,0.07628887946310083,1.9459101490553132,3.4011973816621555,0.9974,3.38,0.4054651081081644,2.302585092994046,4
7.9,0.32,0.51,0.5352342718995394,0.22895580699590679,2.8903717578961645,4.04305126783455,0.9969,3.04,0.7323678937132266,2.322387720290225,6
8.9,0.22,0.48,0.5352342718995394,0.06911274920875739,3.4011973816621555,4.110873864173311,0.9968,3.39,0.4252677354043441,2.341805806147327,6
7.6,0.39,0.31,0.5798054681874687,0.07312004058617964,3.1780538303479458,4.276666119016055,0.9982,3.52,0.5007752879124893,2.3702437414678603,5
